tool,defect,n_bad,n_good,L1_LR_auc_mean,L1_LR_auc_std,L1_LR_brier,RF_auc_mean,RF_auc_std,RF_brier,GBM_auc_mean,GBM_auc_std,GBM_brier,best_model,best_top5
1,Wrinkle,92,2148,0.775,0.035,0.1861,0.772,0.032,0.0908,0.729,0.051,0.0445,L1_LR,Pos Vinyl S Width; Temp. THT at Trigger; Temp Z3; Capacity BHT; Temp Z1
1,Dent,19,2221,0.668,0.109,0.1538,0.721,0.069,0.022,0.623,0.077,0.0109,RF,Pos Vinyl N Width; Pyro Clean; Pos Vinyl N Length; Pos Vinyl N Width_active; Machine Cycle Time
1,Out of dimension,18,2222,0.659,0.103,0.1242,0.733,0.109,0.0181,0.643,0.108,0.0096,RF,Pyro Clean; Roller Gap LH; Machine Cycle Time; Vacuum Time Tool Cavity A; Pos Vinyl S Length
1,Bad edge wrap,20,2220,0.742,0.081,0.123,0.803,0.062,0.0275,0.784,0.068,0.0118,RF,Temp. BHT at Trigger; BT Circuit 2 Temp; Pyro Clean; Pos Vinyl S Width; Roller Gap LH
2,Dent,28,3753,0.825,0.068,0.1309,0.835,0.108,0.0174,0.796,0.085,0.0107,RF,Pyro Clean; Temp. BHT at Trigger; heating time (tens of seconds); Temp Z2; Temp Z1
2,Bumps / lumps,17,3764,0.763,0.045,0.1316,0.722,0.083,0.0148,0.683,0.159,0.0066,L1_LR,Pos Vinyl N Width; Pos Vinyl N Length; Temp Z1; heating time (tens of seconds); Roller Gap LH
2,Burnt Carpet / Vynil,26,3755,0.564,0.073,0.1972,0.603,0.102,0.0194,0.632,0.052,0.0088,GBM,Pyro Clean; Temp Z3; Temp. THT at Trigger; Temp. BHT at Trigger; Temp Z2
2,Low Glue/Read Thru/Impression,40,3741,0.834,0.057,0.1202,0.858,0.076,0.014,0.867,0.047,0.011,GBM,Pyro Clean; Temp. BHT at Trigger; TTF Circuit 1 Temp; Temp Z1; Machine Cycle Time
8,Dent,15,1336,0.508,0.16,0.15,0.601,0.186,0.0234,0.719,0.158,0.0193,GBM,heating time (tens of seconds); Pyro Clean; prev_mct_capped; BT Circuit 2 Temp; Pos Vinyl S Width
8,Bumps / lumps,35,1316,0.838,0.077,0.1265,0.89,0.074,0.0353,0.749,0.08,0.0295,RF,Pyro Clean; Temp. THT at Trigger; heating time (tens of seconds); TTF Circuit 1 Temp; Pos Vinyl S Width
