,0
Pyro Clean,0.10902188651311659
Vacuum Time Tool Cavity A,0.07081450403948844
Vacuum Time Tool Cavity B,0.06601778177637563
Machine Cycle Time,0.059072495145038026
Temp. BHT at Trigger,0.05872455233421569
Temp Z3,0.054128724277619694
Temp Z2,0.053850887250274836
Temp. THT at Trigger,0.04788820143346917
Temp Z1,0.04412976192942431
Pos Vinyl N Width,0.040255415122164365
heating time (tens of seconds),0.03696446270853104
TTF Circuit 1 Temp,0.03379009168577334
Glue Temp,0.030160796361440687
Pos Vinyl S Length,0.02946699064823311
BT Circuit 2 Temp,0.027406798502479724
Pos Vinyl S Width,0.0255527510172925
BT Circuit 1 Temp,0.02522856195500782
Time Feed to Vacuum 1,0.02328646500032109
Pos Vinyl N Length,0.021945281491683514
Stretch Cross Stretch 2,0.01843288127141979
Graining Vacuum TTF Cavity 2,0.015047676193131408
Temp Z4,0.01349803241888044
Stretch Cross Stretch 1,0.013467298502309948
Capacity BHT,0.011585463649382849
Graining Vacuum TTF Cavity 1,0.01060279213926846
Stretch Cross Form,0.010304281437542572
Capacity THT,0.00794306615246853
Roller Gap LH,0.007839681896172363
Stetch Length Pick Up,0.007617344519672463
Stretch Cross Pick Up,0.007369570663688353
Stretch Cross Stretch 3,0.006971986720516021
Roller Gap RH,0.004366322219472359
Top Tool Pos Close,0.003928089177218091
Stetch Length Stretch 1,0.001976022913126471
Stetch Length Stretch 3,0.0005077729359524186
Stetch Length Stretch 2,0.0004762712300583745
Stetch Length Form,0.0003590367677696389
