tool,defect,param,n_bad,n_good,good_p50,good_p5,good_p95,bad_p50,pct_diff,abs_cliffs,cliffs,welch_p,rf_imp,within_cv,actionable,sig,composite
1,Wrinkle,Temp. THT at Trigger,92,2077,155.0,150.0,210.0,155.0,-1.2,0.023,0.023,0.2064712072817752,0.0226,0.1111,True,False,0.0
1,Wrinkle,Temp. BHT at Trigger,92,2077,180.0,150.0,202.0,183.0,0.89,0.098,0.098,0.15081738110590945,0.0749,0.0797,True,False,0.0
1,Wrinkle,heating time (tens of seconds),92,2077,467.0,333.0,699.2,483.0,0.52,0.185,0.185,0.7431503654985829,0.0632,0.1635,True,False,0.0
1,Wrinkle,Vacuum Time Tool Cavity A,92,2077,84.0,55.0,87.0,76.0,-4.11,0.203,-0.203,0.005660414683536114,0.0356,0.1312,True,True,1.5458
1,Wrinkle,Vacuum Time Tool Cavity B,92,2077,83.0,47.0,86.0,76.0,-7.17,0.228,-0.228,0.0017718885882404718,0.0313,0.1883,True,True,1.3888000000000003
1,Wrinkle,BT Circuit 1 Temp,92,2077,28.0,26.0,29.0,28.0,-0.74,0.083,-0.083,0.11579787900668358,0.0185,0.0389,True,False,0.0
1,Wrinkle,BT Circuit 2 Temp,92,2077,26.0,24.0,27.0,26.0,-0.41,0.071,-0.071,0.3141130421254093,0.0133,0.0396,True,False,0.0
1,Wrinkle,Graining Vacuum TTF Cavity 1,92,2077,1.0,1.0,2.0,1.0,11.24,0.124,0.124,0.018555281347056855,0.0053,0.3734,True,False,0.0
1,Wrinkle,Machine Cycle Time,92,2077,834.0,721.8,9999.0,860.5,11.79,0.121,0.121,0.5043930742408743,0.0517,1.531,True,False,0.0
1,Wrinkle,Capacity THT,92,2077,60.0,55.0,75.0,65.0,0.94,0.117,0.117,0.17854519712669423,0.0181,0.0808,True,False,0.0
1,Wrinkle,Capacity BHT,92,2077,55.0,35.0,60.0,55.0,2.7,0.081,0.081,0.0017666327962628848,0.0176,0.1133,True,True,0.7526
1,Wrinkle,Time Feed to Vacuum 1,92,2077,79.0,60.0,80.0,79.0,-2.12,0.064,-0.064,0.045649737106495954,0.0135,0.0744,True,False,0.0
1,Wrinkle,Pyro Clean,92,2077,253.0,26.0,470.0,288.5,17.09,0.184,0.184,2.8385149483506502e-05,0.1246,0.5196,True,True,5.094400000000001
1,Wrinkle,Top Tool Pos Close,92,2077,12480.0,12480.0,12500.0,12480.0,0.01,0.078,0.078,0.1714051018784825,0.0016,0.0007,False,False,0.0
1,Wrinkle,Pos Vinyl N Length,92,2077,21.0,0.0,56.0,28.0,61.09,0.29,0.29,3.7377247646727977e-06,0.0387,1.0175,True,True,1.722
1,Wrinkle,Pos Vinyl N Width,92,2077,23.0,0.0,33.0,26.0,38.46,0.203,0.203,1.2150344949567168e-05,0.0287,0.8847,True,True,1.2698
1,Wrinkle,Pos Vinyl S Length,92,2077,120.0,0.0,131.0,123.0,26.22,0.188,0.188,1.5146335227371345e-22,0.0932,0.5334,True,True,3.8408
1,Wrinkle,Pos Vinyl S Width,92,2077,249.0,0.0,257.0,253.0,29.16,0.358,0.358,4.866953895434786e-39,0.066,0.5247,True,True,2.8548000000000004
1,Wrinkle,Roller Gap LH,92,2077,10.0,9.0,11.0,10.0,-3.69,0.258,-0.258,1.3613261226154172e-06,0.041,0.0976,True,True,1.7948000000000004
1,Wrinkle,Roller Gap RH,92,2077,1.0,1.0,3.0,1.0,-30.34,0.271,-0.271,2.4193068580832177e-12,0.0458,0.6292,True,True,1.9946000000000002
1,Wrinkle,Glue Temp,92,2077,146.0,144.0,147.0,146.0,0.12,0.082,0.082,0.1804954860926534,0.0107,0.0076,False,False,0.0
1,Wrinkle,Stetch Length Pick Up,92,2077,18450.0,18400.0,18500.0,18400.0,-0.02,0.003,-0.003,0.4817482826606584,0.0158,0.0023,False,False,0.0
