param,n_nonnull,n_unique,n_zero,min,p1,p5,p50,mean,p95,p99,max,std
Temp. THT at Trigger,7372,86,0,127.0,135.0,143.0,159.0,160.344,174.0,211.0,228.0,12.676
Temp. BHT at Trigger,7372,79,0,142.0,146.0,164.0,190.0,188.107,207.0,215.0,222.0,13.573
heating time (tens of seconds),7372,205,0,258.0,325.0,420.0,470.0,469.107,540.45,700.0,886.0,49.88
Vacuum Time Tool Cavity A,7372,50,0,13.0,49.71,64.0,72.0,72.958,87.0,87.0,88.0,8.02
Vacuum Time Tool Cavity B,7372,62,0,9.0,33.0,58.0,71.0,71.756,86.0,87.0,87.0,9.293
BT Circuit 1 Temp,7372,9,0,21.0,22.0,23.0,25.0,25.526,29.0,29.0,29.0,1.761
BT Circuit 2 Temp,7372,63,966,0.0,0.0,0.0,23.0,54.927,363.0,825.0,833.0,149.076
TTF Circuit 1 Temp,7372,22,2240,0.0,0.0,0.0,28.0,20.935,35.0,37.0,38.0,14.093
TTF Circuit 2 Temp,7372,1,7372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Graining Vacuum TTF Cavity 1,7372,13,0,1.0,1.0,1.0,87.0,61.155,88.0,89.0,90.0,39.508
Graining Vacuum TTF Cavity 2,7372,10,0,1.0,1.0,1.0,88.0,61.908,90.0,90.0,91.0,40.253
Machine Cycle Time,7372,273,0,656.0,669.0,684.0,780.0,1657.907,9999.0,9999.0,9999.0,2705.473
Tool Number,7372,3,0,1.0,1.0,1.0,2.0,2.796,8.0,8.0,8.0,2.504
Capacity THT,7372,12,6,0.0,55.0,59.0,65.0,64.832,73.0,75.0,85.0,4.361
Capacity BHT,7372,14,6,0.0,35.0,50.0,60.0,57.696,70.0,70.0,70.0,5.911
Time Feed to Vacuum 1,7372,37,0,46.0,46.0,47.0,70.0,70.213,80.0,80.0,82.0,8.141
Pyro Clean,7372,951,0,1.0,8.0,39.0,471.0,475.225,907.0,940.29,951.0,289.823
Top Tool Pos Close,7372,4,0,12330.0,12330.0,12330.0,12330.0,12376.953,12500.0,12500.0,12500.0,71.23
Pos Vinyl N Length,7372,86,4391,0.0,0.0,0.0,0.0,54.637,219.0,222.0,226.0,87.784
Pos Vinyl N Width,7372,65,4391,0.0,0.0,0.0,0.0,72.061,294.0,302.0,317.0,120.614
Pos Vinyl S Length,7372,86,3600,0.0,0.0,0.0,94.0,105.755,285.0,289.0,308.0,118.515
Pos Vinyl S Width,7372,61,3645,0.0,0.0,0.0,1.0,62.606,254.0,257.0,265.0,105.562
Roller Gap LH,7372,8,0,-1.0,9.0,9.0,19.0,16.293,20.0,20.0,20.0,4.256
Roller Gap RH,7372,5,0,-3.0,1.0,1.0,18.0,13.014,18.0,18.0,18.0,7.528
Glue Temp,7372,16,0,143.0,144.0,144.0,155.0,152.506,157.0,158.0,161.0,4.77
Stetch Length Pick Up,7372,5,0,15400.0,15400.0,15400.0,15400.0,16325.875,18500.0,18500.0,18500.0,1401.716
Stetch Length Stretch 1,7372,3,0,15400.0,15400.0,15400.0,15400.0,16321.647,18430.0,18450.0,18450.0,1395.131
Stetch Length Stretch 2,7372,2,0,15400.0,15400.0,15400.0,15400.0,16326.75,18450.0,18450.0,18450.0,1402.85
Stetch Length Stretch 3,7372,3,0,15400.0,15400.0,15400.0,15400.0,16336.495,18480.0,18500.0,18500.0,1417.605
Stetch Length Form,7372,2,0,15400.0,15400.0,15400.0,15400.0,16341.942,18500.0,18500.0,18500.0,1425.848
Stretch Cross Pick Up,7372,3,0,4800.0,4800.0,4800.0,4830.0,6238.764,9500.0,9500.0,9500.0,2154.764
Stretch Cross Stretch 1,7372,6,0,4800.0,4800.0,4800.0,4830.0,6247.362,9520.0,9520.0,9520.0,2159.799
Stretch Cross Stretch 2,7372,7,0,4800.0,4800.0,4820.0,4830.0,6261.881,9550.0,9550.0,9550.0,2168.786
Stretch Cross Stretch 3,7372,6,0,4850.0,4850.0,4850.0,4880.0,6321.144,9650.0,9650.0,9670.0,2197.032
Stretch Cross Form,7372,4,0,4850.0,4850.0,4850.0,4880.0,6363.663,9800.0,9800.0,9800.0,2270.45
Pick Material Pos,7372,1,0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,0.0
Temp Z1,7372,80,8,0.0,107.0,114.0,144.0,144.018,175.0,180.0,180.0,18.592
Temp Z2,7372,85,8,0.0,104.0,110.0,140.0,139.478,168.0,179.0,180.0,18.083
Temp Z3,7372,85,8,0.0,103.0,110.0,138.0,137.15,164.0,175.29,180.0,17.432
Temp Z4,7372,80,5140,0.0,0.0,0.0,0.0,39.117,146.0,167.0,180.0,60.239
