,0
Pyro Clean,0.17709513088730977
Pos Vinyl N Width,0.06973824805453009
Stretch Cross Form,0.05745622659691115
Pos Vinyl N Length,0.056857345874879284
Temp. BHT at Trigger,0.055826533923572334
Stretch Cross Stretch 1,0.05214064807854353
Pos Vinyl S Width,0.044304397348580944
Stretch Cross Stretch 3,0.04212656303656726
Stretch Cross Stretch 2,0.04130919245157822
Stetch Length Pick Up,0.04077104500252549
BT Circuit 2 Temp,0.031233472553420925
TTF Circuit 1 Temp,0.030617984256194834
Temp. THT at Trigger,0.026273886336003797
Pos Vinyl S Length,0.02315396865629561
Roller Gap LH,0.020441311825951013
heating time (tens of seconds),0.01996314594590607
Time Feed to Vacuum 1,0.019429362601836222
Vacuum Time Tool Cavity A,0.018354226981701433
Temp Z2,0.01749764859018468
BT Circuit 1 Temp,0.01697058441108889
Temp Z3,0.016005789949631907
Temp Z1,0.015909572115726328
Stretch Cross Pick Up,0.01546166768002128
Glue Temp,0.014393808910441539
Machine Cycle Time,0.013171476712884296
Vacuum Time Tool Cavity B,0.012824679792630219
Temp Z4,0.009619415149697053
Capacity THT,0.007500250290174849
Graining Vacuum TTF Cavity 1,0.007372504607109765
Capacity BHT,0.006322876087507079
Roller Gap RH,0.0059223204884992445
Stetch Length Stretch 1,0.005007905381532879
Graining Vacuum TTF Cavity 2,0.003499955731511142
Stetch Length Stretch 3,0.0017897149065561682
Stetch Length Stretch 2,0.001358754881056919
Top Tool Pos Close,0.0013550212354961804
Stetch Length Form,0.0009233626659416485
