,0
Pos Vinyl S Length,0.12624222330505588
Pyro Clean,0.08933126758721027
Temp. THT at Trigger,0.061862604647942375
Stretch Cross Stretch 3,0.05037801707498018
heating time (tens of seconds),0.04932635538583661
BT Circuit 2 Temp,0.04370187222134318
Temp. BHT at Trigger,0.04172478944362716
TTF Circuit 1 Temp,0.03927991416202717
Machine Cycle Time,0.03675876989526859
Stretch Cross Pick Up,0.03344524745711168
Graining Vacuum TTF Cavity 2,0.031020741238071227
Stretch Cross Stretch 1,0.030822102126622675
Pos Vinyl S Width,0.03068664386629403
Glue Temp,0.029082792288716023
Temp Z2,0.027374034095946995
Vacuum Time Tool Cavity B,0.02735276020113371
Temp Z3,0.027234062327316722
Temp Z1,0.02646557228034854
Vacuum Time Tool Cavity A,0.02492804419785358
Pos Vinyl N Width,0.019299593098973757
Stretch Cross Stretch 2,0.01831163634992066
Roller Gap LH,0.015985510867594442
Graining Vacuum TTF Cavity 1,0.01490980841001856
Pos Vinyl N Length,0.014541130553834325
Time Feed to Vacuum 1,0.013946586693021073
Roller Gap RH,0.01242257515851428
Capacity BHT,0.011880096518787726
Stretch Cross Form,0.010693703894641313
BT Circuit 1 Temp,0.009553296786840691
Temp Z4,0.0063601761208083064
Stetch Length Stretch 1,0.005575916124481617
Capacity THT,0.004655508297831154
Stetch Length Pick Up,0.004253239141581962
Stetch Length Stretch 2,0.003303445404486481
Stetch Length Stretch 3,0.0028772874649771966
Top Tool Pos Close,0.002644510884198902
Stetch Length Form,0.0017681644267809875
