,0
heating time (tens of seconds),0.1442196336176101
Machine Cycle Time,0.09118990575120885
Pyro Clean,0.07242240712935857
Temp. BHT at Trigger,0.05911572901202966
Temp Z2,0.043710403615664424
Temp. THT at Trigger,0.043565716043237716
Temp Z3,0.0428439057903172
Temp Z1,0.03754429962598214
Graining Vacuum TTF Cavity 2,0.03257489427847066
Vacuum Time Tool Cavity B,0.03209740527662176
Capacity BHT,0.032005086930142576
Pos Vinyl N Width,0.03188636566026122
Vacuum Time Tool Cavity A,0.030437147004545573
Pos Vinyl S Length,0.030072112627170387
BT Circuit 2 Temp,0.02474138068755276
Graining Vacuum TTF Cavity 1,0.024524126669931052
Pos Vinyl N Length,0.024210389130148568
Time Feed to Vacuum 1,0.022648266584128017
TTF Circuit 1 Temp,0.021394513947047708
Stetch Length Pick Up,0.021097239834470857
Pos Vinyl S Width,0.019953158558088838
BT Circuit 1 Temp,0.018268440461498083
Stretch Cross Stretch 3,0.014639559758231847
Glue Temp,0.014149955867108061
Temp Z4,0.011605016775033377
Stretch Cross Stretch 2,0.010486031253286777
Capacity THT,0.009276706084888071
Stretch Cross Stretch 1,0.009183012058958112
Stretch Cross Form,0.008706119159684554
Roller Gap LH,0.006722911364130089
Stetch Length Stretch 1,0.0051111176063133364
Stretch Cross Pick Up,0.004051645722665917
Roller Gap RH,0.002049886862921245
Top Tool Pos Close,0.0018751178126410887
Stetch Length Form,0.0006428298489507023
Stetch Length Stretch 2,0.000588798578281623
Stetch Length Stretch 3,0.00038876301141860356
