,0
BT Circuit 2 Temp,0.11862004864675547
Temp. THT at Trigger,0.10026311355691248
Temp. BHT at Trigger,0.09955663529612332
Pyro Clean,0.07348151775350882
Stretch Cross Stretch 2,0.05737691090354813
Vacuum Time Tool Cavity A,0.05567909356337083
TTF Circuit 1 Temp,0.053576511247973545
heating time (tens of seconds),0.051519741222159986
Temp Z3,0.032856267239561227
Capacity BHT,0.032272993780967645
Temp Z2,0.03203899995101452
BT Circuit 1 Temp,0.03094137742351641
Temp Z1,0.027825535097106887
Vacuum Time Tool Cavity B,0.024725303185550843
Machine Cycle Time,0.022571759892726917
Pos Vinyl S Length,0.022525338896379737
Glue Temp,0.021406831770781218
Pos Vinyl S Width,0.021104439423338374
Graining Vacuum TTF Cavity 2,0.020270533718568236
Graining Vacuum TTF Cavity 1,0.015435840724035916
Stretch Cross Form,0.011598614177697633
Stretch Cross Stretch 3,0.009650671780145864
Stretch Cross Stretch 1,0.008257386849544789
Time Feed to Vacuum 1,0.007599402837321387
Pos Vinyl N Length,0.0066640558738154795
Stretch Cross Pick Up,0.006206607948093526
Capacity THT,0.0058679920958192525
Stetch Length Stretch 2,0.004996625333314464
Roller Gap LH,0.004725307756953176
Stetch Length Stretch 3,0.004440283528906567
Pos Vinyl N Width,0.00432395290731455
Stetch Length Stretch 1,0.003753052216086412
Roller Gap RH,0.0027715961399373437
Temp Z4,0.00213400222956164
Top Tool Pos Close,0.0015855114432403417
Stetch Length Form,0.0007876841941725571
Stetch Length Pick Up,0.000588459394174452
