,0
Pos Vinyl S Width,0.15057040104548006
Stretch Cross Stretch 3,0.11191828778410406
Temp Z4,0.08687623518969367
Stetch Length Stretch 3,0.04918419533080739
Stretch Cross Form,0.04375448852329298
Stretch Cross Pick Up,0.03698357081404648
Pyro Clean,0.03675532411190779
Stretch Cross Stretch 1,0.03574639960887123
Stretch Cross Stretch 2,0.035186319606697235
Stetch Length Pick Up,0.03509436250502882
Stetch Length Stretch 2,0.033653656238692625
Roller Gap LH,0.030985628546707195
Stetch Length Stretch 1,0.030166666606660134
Top Tool Pos Close,0.026931192057908955
Roller Gap RH,0.023781380236573616
Pos Vinyl S Length,0.023627779883599907
Temp. BHT at Trigger,0.02290602146443406
Glue Temp,0.01794487284222312
Machine Cycle Time,0.017111708233957936
Stetch Length Form,0.01613844317948742
heating time (tens of seconds),0.01247216874106427
Temp Z3,0.010495162432596579
Graining Vacuum TTF Cavity 1,0.010298803902665802
Pos Vinyl N Length,0.01027775707048665
TTF Circuit 1 Temp,0.009650935328157152
Temp Z2,0.009175917020618825
Vacuum Time Tool Cavity B,0.009093163895309177
Temp Z1,0.00898944186146499
Graining Vacuum TTF Cavity 2,0.008903433583205382
Capacity BHT,0.0074510286950398704
BT Circuit 2 Temp,0.006739294119406813
Vacuum Time Tool Cavity A,0.0066668163533388485
Pos Vinyl N Width,0.0062704693450996865
Capacity THT,0.0058455734458443655
BT Circuit 1 Temp,0.005715434950194329
Temp. THT at Trigger,0.004486667180945402
Time Feed to Vacuum 1,0.002150998264387297
