tool,param,good_P5,target_P50,good_P95,scrap_P50,pct_scrap_OOW
1,Temp. THT at Trigger,150.0,155.0,210.0,155.0,2.5
1,Temp. BHT at Trigger,150.0,180.0,202.0,181.0,1.8
1,heating time (tens of seconds),333.0,467.0,699.2,475.0,6.7
1,Vacuum Time Tool Cavity A,55.0,84.0,87.0,76.0,7.4
1,Vacuum Time Tool Cavity B,47.0,83.0,86.0,76.0,16.6
1,BT Circuit 1 Temp,26.0,28.0,29.0,28.0,4.3
1,BT Circuit 2 Temp,24.0,26.0,27.0,26.0,1.8
1,Graining Vacuum TTF Cavity 1,1.0,1.0,2.0,2.0,3.1
1,Machine Cycle Time,720.0,815.0,982.0,816.5,2.1
1,Capacity THT,55.0,60.0,75.0,65.0,0.6
1,Capacity BHT,35.0,55.0,60.0,55.0,0.6
1,Time Feed to Vacuum 1,60.0,79.0,80.0,79.0,6.1
1,Pyro Clean,26.0,253.0,470.0,292.0,0.6
1,Pos Vinyl N Length,0.0,21.0,56.0,28.0,11.7
1,Pos Vinyl N Width,0.0,23.0,33.0,27.0,5.5
1,Pos Vinyl S Length,0.0,120.0,131.0,122.0,6.1
1,Pos Vinyl S Width,0.0,249.0,257.0,252.0,1.2
1,Roller Gap LH,9.0,10.0,11.0,10.0,0.0
1,Roller Gap RH,1.0,1.0,3.0,1.0,0.0
1,Temp Z1,110.0,140.0,179.0,144.0,10.4
1,Temp Z2,106.0,135.0,170.0,137.0,9.8
1,Temp Z3,106.0,134.0,172.0,136.0,11.0
1,Temp Z4,102.0,128.0,164.0,131.0,4.9
2,Temp. THT at Trigger,142.0,160.0,174.0,157.0,21.3
2,Temp. BHT at Trigger,171.0,194.0,208.0,190.0,28.0
2,heating time (tens of seconds),440.0,470.0,500.0,470.0,13.3
2,Vacuum Time Tool Cavity A,64.0,71.0,73.0,71.0,10.7
2,Vacuum Time Tool Cavity B,64.0,71.0,73.0,71.0,10.0
2,BT Circuit 1 Temp,23.0,25.0,26.0,24.0,3.3
2,BT Circuit 2 Temp,22.0,23.0,23.0,23.0,3.3
2,TTF Circuit 1 Temp,24.0,29.0,32.0,29.0,13.3
2,Machine Cycle Time,677.0,760.0,854.0,759.0,10.0
2,Capacity THT,62.0,65.0,65.0,65.0,0.0
2,Capacity BHT,50.0,60.0,65.0,60.0,2.7
2,Time Feed to Vacuum 1,47.0,70.0,71.0,70.0,6.0
2,Pyro Clean,39.0,481.0,915.0,422.5,15.3
2,Pos Vinyl N Length,0.0,0.0,219.0,0.0,2.7
2,Pos Vinyl N Width,0.0,0.0,295.0,0.0,2.7
2,Pos Vinyl S Length,0.0,0.0,286.0,0.0,3.3
2,Pos Vinyl S Width,0.0,0.0,13.0,0.0,6.7
2,Roller Gap LH,19.0,19.0,20.0,19.0,0.0
2,Roller Gap RH,18.0,18.0,18.0,18.0,0.0
2,Temp Z1,120.0,142.0,169.0,142.0,16.0
2,Temp Z2,116.0,139.0,165.0,139.0,16.0
2,Temp Z3,115.0,137.0,162.0,137.0,14.0
8,Temp. THT at Trigger,147.0,170.0,170.0,160.0,26.0
8,Temp. BHT at Trigger,176.0,191.0,212.6,190.0,28.8
8,heating time (tens of seconds),441.4,469.0,540.0,463.0,12.3
8,Vacuum Time Tool Cavity A,64.0,73.0,75.0,73.0,5.5
8,Vacuum Time Tool Cavity B,64.0,72.0,75.0,72.0,4.1
8,BT Circuit 1 Temp,23.0,24.0,25.0,24.0,4.1
8,BT Circuit 2 Temp,0.0,0.0,825.0,0.0,5.5
8,TTF Circuit 1 Temp,28.0,34.0,37.0,33.0,27.4
8,Machine Cycle Time,674.0,736.0,870.9,740.0,7.9
8,Capacity THT,65.0,70.0,73.0,70.0,5.5
8,Capacity BHT,50.0,60.0,70.0,60.0,1.4
8,Time Feed to Vacuum 1,46.0,70.0,71.0,70.0,0.0
8,Pyro Clean,47.0,680.0,916.6,730.0,5.5
8,Pos Vinyl N Length,0.0,0.0,220.0,0.0,4.1
8,Pos Vinyl N Width,0.0,0.0,295.0,0.0,4.1
8,Pos Vinyl S Length,0.0,0.0,286.0,281.0,4.1
8,Pos Vinyl S Width,0.0,0.0,19.0,8.0,8.2
8,Temp Z1,130.0,156.0,180.0,147.0,19.2
8,Temp Z2,125.4,152.0,174.0,143.0,23.3
8,Temp Z3,120.0,147.0,168.0,139.0,19.2
